,Date,Price,SMA10,SMA20,SMA50,SMA100,SMA200,EMA13,EMA25,RSI,UBB,LBB,ATR,CE,TSI
3780,2015-01-13,294.73999,300.860998,302.16175050000004,310.8357012,316.2890504,319.43703035,300.3530525991803,304.0935744123646,37.42538899173528,314.47022368177005,296.007513909115,6.855669285714291,294.18299214285713,-16.608173716490306
3781,2015-01-14,293.26999,299.157998,301.5217495,310.5919012,315.8926503,319.22155535,299.3411865135831,303.2609909960289,36.48072369778253,314.2968471445763,295.1342006777119,7.224885714285721,293.07534285714286,-17.531993697872956
3782,2015-01-15,286.95001,296.81799800000005,301.11625,310.21650139999997,315.4462504,318.94135545,297.5710184402141,302.00630015018055,34.29688169860974,315.2025076386781,294.0731211806609,7.5862792857142916,291.99116214285715,-19.80113637322807
3783,2015-01-16,290.73999,295.039998,300.7092495,309.9751012,315.0134504,318.68525545,296.59515723446924,301.13966090785897,31.248700949540705,315.51934973161923,293.3041993841904,7.428429285714292,292.46471214285714,-20.25594594502193
3784,2015-01-20,289.44,293.764998,300.294749,309.8335014,314.4895505,318.46435545,295.57299191525937,300.23968699186986,26.09979494479154,315.8986923621949,292.4927773189026,7.376992142857148,292.61902357142856,-20.92380567824123
3785,2015-01-21,297.25,293.960997,300.16224950000003,309.8457012,314.0302506,318.33560545,295.81256449879373,300.00971106941836,37.76944037227414,315.8251995454195,292.33077447729033,8.38699142857143,289.5890257142857,-18.680057223557224
3786,2015-01-22,310.32001,295.150997,300.3512495,310.0549016,313.7332508,318.29840545,297.8850567132518,300.80281098715545,49.97739940021023,316.42409596440893,292.3148262677955,9.246277142857148,287.0111685714286,-12.568809075982005
3787,2015-01-23,312.39001,296.343999,300.6565,310.20050200000003,313.4667508,318.22500544999997,299.957192897073,301.6941339881435,52.90498859779103,317.420852349085,292.2743238254575,9.347712857142856,288.8868514285714,-7.333323202857183
3788,2015-01-26,309.66,297.617,300.98799999999994,310.1535018,313.1395508,318.1142805,301.3433081974912,302.30689291213247,55.92763806080062,318.20603421752463,292.37898289123757,9.191277857142856,289.3561564285714,-4.018578767121967
3789,2015-01-27,306.75,299.151,300.871,310.0583016,312.8170508,318.06248055,302.1156927407067,302.64867038042996,59.70857640800321,317.8878510662398,292.36257446688006,8.97685,289.99944,-2.208028632419965
3790,2015-01-28,303.91,300.068001,300.4644995,309.8069014,312.3966507,318.0233805,302.3720223491772,302.7456957357815,54.673928608462546,316.729778499922,292.331860000039,9.099709285714292,289.6308621428571,-1.5449542509266987
3791,2015-01-29,311.78,301.919002,300.5385,309.4861012,312.0506507,318.0027305,303.7160191564376,303.4406422176445,58.76705294846109,317.00441910072436,292.3055404496378,9.559707857142858,288.2508664285714,1.1249882579371306
3792,2015-01-30,354.53,308.67700099999996,302.7474995,310.1157014,312.1725507,318.19498055,310.9751592769465,307.3705928162872,77.75102994364525,331.7994442818992,288.2215271090504,12.526135714285715,321.92159285714285,13.223622285322282
3793,2015-02-02,364.47,316.05000200000006,305.545,310.9065016,312.51975070000003,318.3989306,318.6172793802399,311.7628549073421,83.76156516139197,345.62097743392144,285.50701128303933,12.937634999999997,326.187095,22.990464237275006
3794,2015-02-03,363.54999,323.461001,308.6129995,311.6467012,312.8419507,318.59213055,325.03623804020566,315.74648068370044,82.52198365100364,356.2828493244571,284.77807458777147,12.760449999999995,329.53564,29.426551941873395
3795,2015-02-04,364.75,330.211001,312.085999,312.33090100000004,313.18425080000003,318.76153055000003,330.7096326058906,319.51598216956967,83.87036427884422,365.4498849376476,285.40405603117625,12.750662857142853,329.5650014285714,34.24165394617225
